,土地區段位置/建物區段門牌
310,臺北市松山區南京東路五段211~240號
314,臺北市內湖區港墘路82巷1~30號
316,臺北市大同區重慶北路二段181~210號
319,臺北市內湖區行善路25巷8弄1~30號
320,臺北市大安區樂業街72巷1~30號
321,臺北市大安區四維路14巷1~30號
328,臺北市士林區尊賢街224巷1~30號
329,臺北市士林區忠誠路二段31~60號
332,臺北市北投區溫泉路61~90號
336,臺北市北投區自強街5巷116弄1~30號
343,臺北市士林區天母東路61~90號
344,臺北市松山區新東街61~90號
355,臺北市內湖區陽光街161巷1弄1~30號
357,臺北市內湖區成功路二段361~390號
361,臺北市中山區建國北路一段31~60號
365,臺北市中正區泰安街1~30號
369,臺北市大同區重慶北路一段1~30號
372,臺北市文山區興隆路四段58巷26弄1~30號
374,臺北市文山區興德路20巷1~30號
387,臺北市中正區?門街121~150號
391,臺北市萬華區和平西路三段298巷1~30號
402,臺北市內湖區民權東路六段280巷69弄61~90號
403,臺北市中山區新生北路二段60巷31~60號
409,臺北市中山區中山北路二段16巷1~30號
410,臺北市內湖區民權東路六段180巷121~150號
412,臺北市內湖區金湖路1~30號
414,臺北市南港區福德街310巷1~30號
415,臺北市信義區和平東路三段211~240號
418,臺北市松山區延吉街46巷1~30號
419,臺北市信義區松隆路9巷1~30號
426,臺北市士林區菁山路61~90號
427,臺北市士林區菁山路61~90號
428,臺北市北投區大度路三段271~300號
429,臺北市北投區石牌路一段58巷1~30號
432,臺北市士林區延平北路六段392巷1~30號
434,臺北市北投區東華街一段361~390號
435,臺北市北投區東華街一段361~390號
436,臺北市北投區東華街一段361~390號
437,臺北市北投區中山路31~60號
439,臺北市大安區基隆路二段181~210號
448,臺北市大安區信義路三段91~120號
453,臺北市中山區錦州街30巷1~30號
459,臺北市大安區建國南路二段11巷1~30號
461,臺北市大安區信義路四段265巷1~30號
467,臺北市南港區南深路31~60號
469,臺北市中山區建國北路二段1~30號
470,臺北市內湖區康寧路三段99巷31~60號
471,臺北市內湖區民權東路六段123巷34弄1~30號
474,臺北市萬華區和平西路三段382巷2弄1~30號
479,臺北市大安區建國南路二段79巷1~30號
485,臺北市文山區木新路二段1~30號
486,臺北市大安區延吉街211~240號
495,臺北市北投區東華街一段361~390號
496,臺北市北投區溫泉路68巷6弄1~30號
501,臺北市士林區天母東路61~90號
502,臺北市信義區信義路五段150巷451~480號
503,臺北市南港區成福路26巷2弄1~30號
506,臺北市南港區同德路31~60號
514,臺北市中山區新生北路三段61~90號
515,臺北市中山區松江路421~450號
516,臺北市中山區松江路391~420號
517,臺北市中山區松江路391~420號
518,臺北市中山區松江路391~420號
519,臺北市中山區松江路391~420號
520,臺北市中山區松江路391~420號
521,臺北市中山區林森北路631~660號
526,臺北市中山區雙城街49巷1~30號
527,臺北市內湖區民權東路六段180巷151~180號
528,臺北市大同區延平北路一段31~60號
531,臺北市萬華區內江街61~90號
537,臺北市中正區金山南路一段31~60號
538,臺北市大同區歸綏街160巷1~30號
542,臺北市文山區萬寧街2巷1~30號
548,臺北市文山區羅斯福路四段211~240號
551,臺北市文山區試院路31~60號
556,臺北市大同區延平北路一段31~60號
559,臺北市萬華區環河南路一段61~90號
563,臺北市內湖區環山路三段1~30號
565,臺北市中山區新生北路三段1~30號
566,臺北市中山區林森北路571~600號
568,臺北市中山區中山北路三段1~30號
570,臺北市中山區建國北路二段1~30號
573,臺北市內湖區文德路66巷32弄1~30號
574,臺北市中山區新生北路二段62巷31~60號
575,臺北市中山區林森北路119巷61~90號
579,臺北市中山區雙城街3巷1~30號
580,臺北市中山區堤頂大道二段246巷1~30號
581,臺北市中山區復興北路151~180號
587,臺北市松山區八德路三段12巷17弄1~30號
590,臺北市信義區永吉路61~90號
593,臺北市信義區松勤街91~120號
594,臺北市信義區吳興街600巷76弄61~90號
598,臺北市北投區知行路316巷20弄1~30號
605,臺北市北投區榮華一路2巷1~30號
606,臺北市北投區開明街31~60號
607,臺北市士林區天母西路1~30號
642,臺北市士林區社正路17巷1~30號
652,臺北市大安區師大路121~150號
654,臺北市中正區廈門街81巷1~30號
655,臺北市中正區南昌路一段91~120號
658,臺北市大安區復興南路二段90巷1~30號
662,臺北市中正區連雲街31~60號
666,臺北市內湖區東湖路33巷1~30號
667,臺北市內湖區陽光街92巷1~30號
670,臺北市信義區光復南路415巷151~180號
673,臺北市信義區松智路31~60號
675,臺北市士林區天母西路1~30號
679,臺北市大安區延吉街137巷7弄1~30號
681,臺北市大安區忠孝東路四段31~60號
682,臺北市大安區敦化南路二段151~180號
684,臺北市大安區復興南路一段331~360號
690,臺北市中山區中山北路一段121巷31~60號
691,臺北市中山區龍江路65巷1~30號
692,臺北市內湖區金龍路181~210號
695,臺北市中山區新生北路三段11巷31~60號
697,臺北市中正區杭州南路一段18巷1~30號
701,臺北市大安區和平東路二段331~360號
702,臺北市大安區敦化南路一段271~300號
704,臺北市大安區瑞安街208巷31~60號
705,臺北市文山區福興路95巷1~30號
757,臺北市松山區民生東路五段69巷2弄1~30號
758,臺北市內湖區安泰街114巷31~60號
759,臺北市內湖區安泰街114巷1~30號
761,臺北市內湖區新豐街61~90號
762,臺北市內湖區內湖路二段331~360號
763,臺北市中山區撫順街41巷1~30號
768,臺北市中山區新生北路三段1~30號
770,臺北市內湖區行善路281巷19弄1~30號
771,臺北市內湖區成功路二段301~330號
781,臺北市大同區承德路三段208巷1~30號
783,臺北市萬華區昆明街201巷1~30號
786,臺北市大同區長安西路271~300號
790,臺北市文山區忠順街二段1~30號
794,臺北市文山區試院路151~180號
798,臺北市文山區景興路177巷1~30號
806,臺北市大同區延平北路四段1~30號
808,臺北市萬華區桂林路91~120號
811,臺北市中山區民生東路一段1~30號
816,臺北市中山區松江路160巷1~30號
818,臺北市內湖區民權東路六段180巷151~180號
820,臺北市內湖區民權東路六段190巷61弄1~30號
822,臺北市中山區長安東路二段91~120號
824,臺北市南港區舊莊街一段145巷6弄31~60號
833,臺北市士林區中山北路六段419巷1~30號
844,臺北市北投區中山路1~30號
845,臺北市士林區承德路四段31~60號
846,臺北市北投區行義路170巷1~30號
850,臺北市士林區中山北路七段190巷26弄1~30號
852,臺北市士林區中山北路七段114巷61~90號
853,臺北市士林區雨農路32巷1~30號
890,臺北市大安區和平東路三段391~420號
896,臺北市大同區延平北路二段181~210號
900,臺北市中山區林森北路557巷1~30號
905,臺北市大安區羅斯福路三段283巷14弄1~30號
907,臺北市大安區信義路三段31巷1~30號
910,臺北市大安區大安路二段31~60號
912,臺北市士林區葫蘆街54巷1~30號
913,臺北市信義區莊敬路178巷1~30號
915,臺北市內湖區成功路五段31~60號
917,臺北市中山區撫順街41巷1~30號
918,臺北市內湖區康寧路三段99巷39弄61~90號
919,臺北市中山區中原街1~30號
922,臺北市大安區光復南路391~420號
925,臺北市大安區和平東路二段36巷1~30號
927,臺北市文山區指南路三段77巷1~30號
928,臺北市文山區忠順街二段31~60號
964,臺北市北投區磺港路121~150號
966,臺北市北投區行義路170巷27弄1~30號
972,臺北市北投區石牌路二段315巷34弄1~30號
974,臺北市士林區承德路四段181~210號
982,臺北市信義區松仁路228巷9弄1~30號
984,臺北市信義區吳興街220巷1~30號
986,臺北市南港區玉成街225巷1~30號
987,臺北市信義區基隆路二段121~150號
988,臺北市信義區忠孝東路五段372巷27弄31~60號
990,臺北市中山區新生北路二段31~60號
992,臺北市中山區中山北路一段105巷1~30號
996,臺北市中山區錦州街1~30號
997,臺北市內湖區民權東路六段180巷1~30號
1001,臺北市萬華區漢中街1~30號
1003,臺北市萬華區昆明街96巷1~30號
1005,臺北市萬華區康定路31~60號
1006,臺北市中正區杭州南路一段11巷1~30號
1008,臺北市文山區萬壽路61~90號
1011,臺北市文山區萬芳路105巷31~60號
1014,臺北市文山區興隆路三段112巷2弄1~30號
1021,臺北市中正區廈門街113巷1~30號
1022,臺北市中正區廈門街113巷1~30號
1024,臺北市中正區同安街101巷1~30號
1025,臺北市中正區?門街81巷1~30號
1029,臺北市大同區長安西路241~270號
1031,臺北市萬華區桂林路4巷1~30號
1032,臺北市萬華區成都路151~180號
1035,臺北市萬華區洛陽街31~60號
1036,臺北市大同區寧夏路31~60號
1037,臺北市中山區明水路631~660號
1038,臺北市中山區八德路二段174巷9弄1~30號
1039,臺北市內湖區內湖路二段331~360號
1041,臺北市南港區研究院路三段1~30號
1043,臺北市松山區八德路四段421~450號
1047,臺北市松山區八德路四段751~780號
1048,臺北市內湖區南京東路六段241~270號
1049,臺北市內湖區南京東路六段241~270號
1053,臺北市北投區新興路64巷1~30號
1055,臺北市士林區光明路241~270號
1064,臺北市松山區延壽街330巷1~30號
1100,臺北市大安區潮州街121~150號
1101,臺北市大安區通化街190巷1~30號
1103,臺北市信義區嘉興街175巷2弄1~30號
1108,臺北市大安區和平東路三段308巷31~60號
1109,臺北市大安區師大路105巷1~30號
1112,臺北市北投區溫泉路65巷1~30號
1121,臺北市萬華區中華路二段498巷1~30號
1122,臺北市萬華區長泰街59巷1~30號
1123,臺北市中山區新生北路一段91~120號
1125,臺北市內湖區成功路五段1~30號
1127,臺北市中山區台北市中山區中山北路一段61~90號
1131,臺北市中山區合江街94巷1~30號
1132,臺北市大安區仁愛路三段5巷1弄31~60號
1134,臺北市大安區仁愛路四段27巷28弄1~30號
1135,臺北市大安區敦化南路一段160巷1~30號
1138,臺北市大安區市民大道四段211~240號
1142,臺北市文山區興隆路三段185巷3弄1~30號
1146,臺北市士林區天母西路41巷1~30號
1169,臺北市北投區永興路二段31~60號
1177,臺北市北投區東華街一段361~390號
1179,臺北市北投區東華街一段361~390號
1182,臺北市南港區南港路二段178巷1~30號
1191,臺北市中山區長春路61~90號
1193,臺北市中山區中山北路二段77巷1~30號
1196,臺北市中山區民生西路45巷11弄1~30號
1214,臺北市內湖區陽光街68巷61~90號
1218,臺北市萬華區洛陽街31~60號
1220,臺北市大同區延平北路二段247巷1~30號
1231,臺北市文山區羅斯福路五段218巷38弄1~30號
1236,臺北市中正區汀州路三段151~180號
1239,臺北市中正區晉江街31~60號
1246,臺北市文山區萬利街30巷1~30號
1250,臺北市萬華區昆明街31~60號
1251,臺北市萬華區環河南路一段61~90號
1252,臺北市大同區延平北路一段61~90號
1253,臺北市萬華區康定路211~240號
1254,臺北市中正區臨沂街27巷1~30號
1256,臺北市萬華區柳州街1~30號
1259,臺北市萬華區長順街1~30號
1261,臺北市中山區八德路二段61~90號
1264,臺北市內湖區康寧路三段189巷61~90號
1267,臺北市內湖區大湖街160巷18弄1~30號
1268,臺北市內湖區內湖路三段60巷12弄61~90號
1275,臺北市內湖區成功路四段61~90號
1278,臺北市內湖區新豐街31~60號
1280,臺北市信義區信義路五段91巷12弄1~30號
1282,臺北市信義區福德街300巷43弄1~30號
1296,臺北市北投區新民路1巷1~30號
1304,臺北市士林區德行東路332巷1~30號
1305,臺北市北投區行義路146巷31~60號
1318,臺北市內湖區康樂街111巷1弄1~30號
1319,臺北市中山區新生北路三段61~90號
1320,臺北市中山區松江路170巷1~30號
1325,臺北市南港區南港路二段38巷1~30號
1327,臺北市大安區復興南路一段253巷1~30號
1328,臺北市大安區潮州街26巷1~30號
1331,臺北市大安區通化街123巷36弄1~30號
1337,臺北市松山區八德路三段91~120號
1344,臺北市中正區新生南路一段132巷6弄1~30號
1345,臺北市萬華區昆明街181~210號
1351,臺北市大安區樂業街79巷1~30號
1358,臺北市北投區懷德街14巷1~30號
1361,臺北市松山區南京東路五段91~120號
1368,臺北市士林區福華路181~210號
1379,臺北市信義區吳興街600巷76弄91~120號
1381,臺北市南港區研究院路三段1~30號
1386,臺北市信義區富陽街91~120號
1387,臺北市中山區復興北路391~420號
1388,臺北市內湖區內湖路三段61~90號
1389,臺北市內湖區內湖路一段691巷1~30號
1390,臺北市內湖區內湖路一段691巷1~30號
1395,臺北市內湖區安泰街56巷1~30號
1398,臺北市中山區德惠街1~30號
1400,臺北市內湖區新豐街61~90號
1405,臺北市大同區民生西路241~270號
1410,臺北市文山區興德路20巷31~60號
1411,臺北市文山區三福街61~90號
1412,臺北市文山區試院路1~30號
1416,臺北市中正區廈門街113巷1~30號
1417,臺北市文山區興隆路四段8巷1~30號
1418,臺北市文山區羅斯福路五段97巷1~30號
1424,臺北市中正區三元街211~240號
1425,臺北市萬華區西藏路91~120號
1426,臺北市大同區民生西路91~120號
1430,臺北市萬華區環河南路一段61~90號
1434,臺北市萬華區水源路181~210號
1437,臺北市中山區松江路391~420號
1441,臺北市中山區松江路391~420號
1442,臺北市中山區松江路391~420號
1443,臺北市內湖區民權東路六段190巷117弄31~60號
1451,臺北市中山區林森北路91~120號
1452,臺北市中山區新生北路三段56巷1~30號
1453,臺北市中山區松江路391~420號
1454,臺北市中山區松江路391~420號
1455,臺北市中山區松江路391~420號
1456,臺北市中山區松江路391~420號
1457,臺北市中山區松江路391~420號
1458,臺北市中山區松江路391~420號
1459,臺北市中山區松江路391~420號
1461,臺北市中山區龍江路120巷1~30號
1463,臺北市內湖區康寧路三段165巷23弄1~30號
1464,臺北市內湖區內湖路三段61~90號
1466,臺北市中山區長安東路二段31~60號
1471,臺北市信義區吳興街600巷76弄121~150號
1477,臺北市士林區天母北路4巷1~30號
1481,臺北市北投區中山北路七段219巷3弄91~120號
1483,臺北市南港區三重路41巷31~60號
1490,臺北市北投區磺港路121~150號
1493,臺北市大安區敦化南路二段91~120號
1494,臺北市大安區和平東路三段464巷1~30號
1496,臺北市大安區大安路一段96巷1~30號
1499,臺北市大安區瑞安街208巷31~60號
1501,臺北市內湖區成功路四段301~330號
1502,臺北市大同區歸綏街181~210號
1504,臺北市萬華區西昌街211~240號
1505,臺北市萬華區西昌街211~240號
1509,臺北市士林區華齡街185巷1~30號
1510,臺北市信義區松隆路121~150號
1511,臺北市信義區信義路六段26巷1~30號
1518,臺北市北投區振興街1~30號
1522,臺北市中山區建國北路一段31~60號
1523,臺北市內湖區康寧路一段181~210號
1525,臺北市萬華區桂林路1~30號
1526,臺北市大安區忠孝東路三段248巷19弄31~60號
1527,臺北市大安區四維路170巷31~60號
1528,臺北市大安區四維路170巷31~60號
1533,臺北市大安區和平東路二段96巷1~30號
1548,臺北市松山區八德路三段106巷91~120號
1549,臺北市南港區重陽路190巷6弄1~30號
1550,臺北市南港區經貿二路235巷31~60號
1552,臺北市北投區明德路91~120號
1553,臺北市北投區文林北路211~240號
1554,臺北市北投區尊賢街249巷1~30號
1555,臺北市士林區中山北路七段82巷10弄1~30號
1568,臺北市南港區研究院路二段61~90號
1572,臺北市中山區農安街1~30號
1573,臺北市內湖區成功路四段30巷31~60號
1574,臺北市內湖區民權東路六段206巷61~90號
1575,臺北市中山區松江路421~450號
1576,臺北市中山區松江路391~420號
1577,臺北市中山區松江路391~420號
1578,臺北市內湖區康寧路三段189巷141弄31~60號
1579,臺北市中山區新生北路三段56巷1~30號
1580,臺北市中山區敬業三路162巷121~150號
1587,臺北市中山區松江路100巷1~30號
1588,臺北市內湖區內溝里康樂街201巷1~30號
1589,臺北市內湖區內溝里康樂街201巷1~30號
1593,臺北市萬華區成都路121~150號
1601,臺北市萬華區成都路121~150號
1605,臺北市萬華區成都路121~150號
1611,臺北市萬華區成都路121~150號
1615,臺北市萬華區成都路121~150號
1619,臺北市萬華區成都路121~150號
1621,臺北市萬華區成都路121~150號
1634,臺北市萬華區和平西路三段301~330號
1639,臺北市文山區仙岩路16巷61~90號
1645,臺北市文山區政大一街241~270號
1646,臺北市中正區水源路27巷1~30號
1649,臺北市中正區南海路31~60號
1652,臺北市文山區萬盛街166巷1~30號
1656,臺北市文山區木柵路一段378巷1~30號
1659,臺北市中正區水源路61~90號
1660,臺北市文山區木新路二段121~150號
1664,臺北市萬華區青年路152巷1~30號
1667,臺北市內湖區成功路二段317巷1~30號
1671,臺北市內湖區民權東路六段190巷21弄31~60號
1676,臺北市內湖區成功路二段273巷1~30號
1678,臺北市內湖區內湖路二段253巷31~60號
1685,臺北市中山區林森北路119巷61~90號
1690,臺北市南港區興南街64巷6弄1~30號
1693,臺北市北投區溫泉路61~90號
1695,臺北市士林區承德路四段181~210號
1699,臺北市北投區實踐街1~30號
1702,臺北市信義區忠孝東路五段361~390號
1714,臺北市文山區樟新街48巷1~30號
1723,臺北市士林區中山北路七段114巷31~60號
1725,臺北市北投區大度路三段301巷28弄1~30號
1730,臺北市大安區辛亥路三段157巷1~30號
1732,臺北市士林區後港街28巷1~30號
1733,臺北市信義區基隆路二段39巷8弄1~30號
1736,臺北市南港區重陽路451~480號
1738,臺北市北投區大度路三段271~300號
1740,臺北市士林區中山北路七段141巷14弄1~30號
1741,臺北市中山區中山北路二段77巷1~30號
1744,臺北市中山區德惠街1~30號
1746,臺北市內湖區康寧路三段56巷31~60號
1747,臺北市大同區環河北路二段223巷1~30號
1748,臺北市中正區仁愛路一段31~60號
1751,臺北市大安區忠孝東路三段248巷19弄31~60號
1752,臺北市大安區民輝里建國南路一段31~60號
1754,臺北市大安區敦化南路二段1~30號
1756,臺北市大安區復興南路二段180巷1~30號
1763,臺北市松山區基隆路一段1~30號
1766,臺北市信義區忠孝東路五段236巷31~60號
1768,臺北市南港區園區街1~30號
1769,臺北市北投區致遠二路96巷2弄1~30號
1779,臺北市士林區中山北路六段290巷29弄1~30號
1785,臺北市中山區林森北路571~600號
1786,臺北市中山區新生北路一段61~90號
1788,臺北市中山區新生北路三段82巷31~60號
1791,臺北市中山區新生北路二段62巷31~60號
1794,臺北市內湖區行善路31~60號
1795,臺北市中山區南京東路一段91~120號
1802,臺北市中山區林森北路571~600號
1803,臺北市內湖區內湖路二段253巷31~60號
1805,臺北市萬華區和平西路三段361~390號
1807,臺北市萬華區東園街121~150號
1808,臺北市大同區延平北路二段247巷1~30號
1809,臺北市大同區民權西路121~150號
1814,臺北市萬華區昆明街31~60號
1815,臺北市萬華區昆明街31~60號
1818,臺北市萬華區昆明街31~60號
1819,臺北市中正區臨沂街71巷19弄1~30號
1820,臺北市萬華區昆明街31~60號
1821,臺北市萬華區昆明街31~60號
1822,臺北市萬華區昆明街31~60號
1825,臺北市中正區南昌路一段121~150號
1826,臺北市文山區溪口街66巷6弄1~30號
1828,臺北市文山區興隆路三段207巷5弄1~30號
1829,臺北市文山區景興路137巷1~30號
1839,臺北市萬華區昆明街31~60號
1842,臺北市中正區北平東路1~30號
1843,臺北市大同區昌吉街61巷9弄1~30號
1847,臺北市萬華區漢口街二段61~90號
1858,臺北市中山區新生北路二段28巷1~30號
1860,臺北市中山區中山北路一段91~120號
1861,臺北市內湖區新豐街61~90號
1863,臺北市中山區遼寧街209巷1~30號
1864,臺北市內湖區內湖路三段191巷1~30號
1865,臺北市內湖區民權東路六段296巷91~120號
1867,臺北市內湖區大湖山莊街151巷1~30號
1869,臺北市中山區新生北路三段82巷1~30號
1870,臺北市中山區松江路391~420號
1871,臺北市中山區松江路421~450號
1872,臺北市中山區松江路391~420號
1880,臺北市士林區德行東路90巷27弄1~30號
1887,臺北市北投區承德路七段232巷1~30號
1889,臺北市士林區永平街9巷1~30號
1897,臺北市南港區向陽路120巷1~30號
1914,臺北市北投區中山北路七段219巷3弄151~180號
1925,臺北市大同區延平北路一段31~60號
1926,臺北市內湖區成功路五段450巷1~30號
1927,臺北市內湖區內湖路二段481~510號
1928,臺北市內湖區康寧路一段271~300號
1929,臺北市中山區民權東路二段1~30號
1931,臺北市松山區三民路43巷1~30號
1933,臺北市內湖區麗山街62巷1~30號
1935,臺北市信義區虎林街181~210號
1938,臺北市士林區中山北路七段61~90號
1939,臺北市大安區仁愛路四段301~330號
1944,臺北市大安區通化街123巷31~60號
1945,臺北市大安區永康街17巷1~30號
1948,臺北市士林區中山北路七段114巷31~60號
1952,臺北市士林區士東路200巷31弄1~30號
1953,臺北市士林區中山北路七段114巷34弄1~30號
1954,臺北市北投區大度路三段301巷28弄1~30號
1960,臺北市內湖區文德路22巷16弄1~30號
1964,臺北市內湖區康寧路三段75巷181~210號
1965,臺北市中山區農安街181~210號
1966,臺北市中正區仁愛路二段20巷1~30號
1967,臺北市萬華區桂林路31~60號
1980,臺北市北投區溫泉路121~150號
1981,臺北市北投區溫泉路121~150號
1982,臺北市北投區溫泉路121~150號
1983,臺北市北投區溫泉路121~150號
1984,臺北市北投區溫泉路121~150號
1992,臺北市信義區永吉路211~240號
1997,臺北市信義區基隆路一段1~30號
1999,臺北市信義區基隆路一段1~30號
2001,臺北市北投區中山路1~30號
2002,臺北市北投區關渡路31~60號
2007,臺北市北投區大同街211~240號
2011,臺北市南港區園區街31~60號
2019,臺北市中山區民生東路二段61~90號
2021,臺北市內湖區成功路四段167巷1~30號
2022,臺北市中山區合江街17巷1~30號
2025,臺北市內湖區康寧路一段271~300號
2028,臺北市中山區中山北路二段91~120號
2030,臺北市中山區龍江路342巷31~60號
2032,臺北市內湖區東湖路7巷31~60號
2033,臺北市中山區中山北路二段91~120號
2034,臺北市內湖區內湖路一段691~720號
2039,臺北市中正區金山南路一段30巷1~30號
2041,臺北市大同區重慶北路二段31~60號
2049,臺北市文山區萬壽路61~90號
2051,臺北市文山區福興路63巷1~30號
2055,臺北市中正區廈門街113巷1~30號
2056,臺北市中正區廈門街113巷1~30號
2057,臺北市中正區廈門街113巷1~30號
2058,臺北市中正區廈門街113巷1~30號
2063,臺北市文山區木新路三段61~90號
2064,臺北市中正區鎮江街1~30號
2071,臺北市大同區錦西街38巷1~30號
2076,臺北市內湖區康樂街72巷17弄31~60號
2077,臺北市中山區長安東路二段91~120號
2078,臺北市中山區松江路25巷1~30號
2080,臺北市中山區敬業一路128巷31~60號
2082,臺北市內湖區文德路171巷3弄31~60號
2088,臺北市北投區中央北路三段40巷34弄1~30號
2089,臺北市士林區通河街323巷31~60號
2092,臺北市士林區通河西街二段31~60號
2095,臺北市士林區福德路31巷1~30號
2101,臺北市松山區南京東路三段303巷14弄1~30號
2117,臺北市北投區石牌路一段33巷3弄1~30號
2118,臺北市北投區承德路七段151~180號
2119,臺北市大安區敦化南路一段252巷31~60號
2121,臺北市大安區復興南路二段271~300號
2131,臺北市文山區景華街91~120號
2133,臺北市萬華區國興路91~120號
2136,臺北市內湖區內湖路一段91巷61~90號
2146,臺北市大安區敦化南路一段177巷1~30號
2148,臺北市大安區建國南路二段322巷1~30號
2150,臺北市大安區泰順街1~30號
2154,臺北市士林區仰德大道三段125巷5弄1~30號
2155,臺北市北投區大度路三段271~300號
2159,臺北市中山區松江路481~510號
2160,臺北市中山區明水路397巷2弄1~30號
2161,臺北市中山區雙城街4巷1~30號
2163,臺北市大同區南京西路181~210號
2172,臺北市大安區羅斯福路三段211~240號
2173,臺北市士林區中社路二段85巷1~30號
2180,臺北市信義區吳興街600巷76弄121~150號
2181,臺北市信義區松德路61~90號
2183,臺北市松山區民生東路五段151~180號
2186,臺北市南港區成福路149巷5弄1~30號
2187,臺北市南港區經貿二路241~270號
2192,臺北市北投區稻香路73巷1~30號
2193,臺北市北投區光明路61~90號
2195,臺北市士林區士商路121~150號
2196,臺北市士林區芝玉路一段211~240號
2201,臺北市士林區雨聲街15巷1~30號
2206,臺北市南港區南深路31~60號
2209,臺北市南港區研究院路二段61巷1~30號
2210,臺北市南港區研究院路二段61巷1~30號
2211,臺北市南港區研究院路二段61巷1~30號
2217,臺北市內湖區行善路333巷61~90號
2219,臺北市內湖區民權東路六段121~150號
2220,臺北市中山區德惠街31~60號
2222,臺北市中山區中山北路二段91~120號
2223,臺北市內湖區大湖山莊街23巷1~30號
2226,臺北市內湖區安泰街65巷1~30號
2228,臺北市內湖區文德路1~30號
2229,臺北市中山區中原街1~30號
2230,臺北市內湖區東湖路113巷31~60號
2231,臺北市內湖區東湖路113巷49弄31~60號
2232,臺北市內湖區大湖山莊街219巷61~90號
2236,臺北市中山區北安路571~600號
2253,臺北市文山區木柵路四段159巷16弄61~90號
2257,臺北市文山區興隆路三段255巷1~30號
2258,臺北市文山區指南路三段77巷1~30號
2260,臺北市中正區?門街121~150號
2264,臺北市大同區寧夏路61~90號
2271,臺北市內湖區安康路334巷1~30號
2273,臺北市中山區八德路二段167巷31~60號
2276,臺北市中山區新生北路三段1~30號
2278,臺北市內湖區民權東路六段180巷42弄31~60號
2279,臺北市內湖區民權東路六段180巷42弄31~60號
2281,臺北市中山區林森北路121~150號
2282,臺北市中山區新生北路一段31~60號
2286,臺北市中山區新生北路二段133巷1~30號
2287,臺北市內湖區大湖街160巷2弄1~30號
2306,臺北市內湖區陽光街202巷1~30號
2308,臺北市北投區文林北路121~150號
2337,臺北市大安區泰順街40巷1~30號
2342,臺北市文山區景明街1~30號
